manufacturer,device_type
"A-TREND TECHNOLOGY CO., LTD.",Unknown
A-TRUST COMPUTER CORPORATION,Unknown
A-Team Technology Ltd.,Unknown
A-Z Inc.,Unknown
A. Eberle GmbH & Co. KG,Unknown
"A. S. Thomas, Inc.",Unknown
A. W. Communication Systems Ltd,Phone
A.D.C. GmbH,Unknown
A.I. ANTITACCHEGGIO ITALIA SRL,Unknown
A.N. Solutions GmbH,Unknown
A.O. Smith Water Products,Unknown
A.T.N.R.,Unknown
A/S MYCRON,Unknown
A10 Networks,Unknown
A2 CORPORATION,Unknown
A2B Electronics AB,Unknown
"A2UICT Co.,Ltd.",Unknown
"A3M Co., LTD",Unknown
A4SP Technologies Ltd.,Unknown
A5TEK Corp.,Unknown
"A7 Engineering, Inc.",IoT Device
AAC ELECTRONICS CORP.,Unknown
"AAE Systems, Inc.",Unknown
AAEON Technology Inc.,Unknown
AAI Corporation,Unknown
AAMP of America,Unknown
"AANetcom, Inc.",Unknown
AARTESYS AG,Unknown
AATR,Unknown
AB Regin,Unknown
AB Sciex,Unknown
"ABB AB, Cewe-Control",Unknown
ABB AG,Unknown
"ABB AS, Division Automation Products",IP Camera
ABB Australia,Unknown
ABB Automation products GmbH,Unknown
"ABB Bomem, Inc.",Unknown
"ABB Genway Xiamen Electrical Equipment CO., LTD",Unknown
ABB Global Industries and Services Private Limited,Unknown
ABB INDUSTRIAL SYSTEMS AB,Unknown
ABB Inc/Totalflow,Unknown
ABB Ltd,Unknown
ABB Oy,Unknown
ABB Oy / Medium Voltage Products,Unknown
ABB Oy Drives,Unknown
"ABB POWER T&D COMPANY, INC.",Unknown
ABB Power Systems Power Generation,Unknown
ABB Robotics,Unknown
"ABB SPA, ABB SACE DIV.",Unknown
ABB STOTZ-KONTAKT GmbH,Unknown
ABB SpA - DIN Rail,Unknown
ABB Switzerland Ltd,Unknown
ABB Switzerland Ltd.,Unknown
"ABB Xiamen Low Voltage Equipment Co.,Ltd.",Unknown
ABB n.v. Power Quality Products,Unknown
"ABC(XiSheng) Electronics Co.,Ltd",Unknown
ABE Elettronica S.p.A.,Unknown
ABEKAS VIDEO SYSTEM,Unknown
ABIT COMPUTER CORPORATION,Unknown
ABIT CORPORATION,Unknown
"ABIsystems Co., LTD",Unknown
"ABK North America, LLC",Unknown
"ABL CANADA, INC.",Unknown
ABL GmbH,Unknown
ABLE COMMUNICATIONS INC.,Phone
"ABLER TECHNOLOGY, INC.",Unknown
ABOUT COMPUTING INC.,Unknown
ABUS Security-Center GmbH & Co. KG,IP Camera
"AC Electric Vehicles, Ltd.",Unknown
AC Tech corporation DBA Advanced Digital,Unknown
"AC&T SYSTEM CO., LTD.",Unknown
ACA-Digital Corporation,Unknown
"ACACIA NETWORKS, INC.",Unknown
ACARD Technology Corp.,Unknown
ACC GmbH,Unknown
ACCEL TECHNOLOGIES INC.,Unknown
"ACCEL, INC.",Unknown
"ACCELERATED NETWORKS, INC.",Unknown
ACCELL CORPORATION,Unknown
"ACCESS CO., LTD.",Unknown
"ACCESS Systems Americas, Inc.",Unknown
"ACCESSLAN COMMUNICATIONS, INC.",Phone
ACCLAIM COMMUNICATIONS,Phone
ACCM,Unknown
"ACCORD SYSTEMS, INC.",Unknown
"ACCORD VIDEO TELECOMMUNICATIONS, LTD.",Phone
ACCTON TECHNOLOGY CORP.,Unknown
"ACCU-TIME SYSTEMS, INC.",Unknown
"ACE Antenna Co., ltd",Unknown
"ACE CAD Enterprise Co., Ltd.",Unknown
ACER NETXUS INC.,Computer
"ACER PERIPHERALS, INC.",Computer
ACER TECHNOLOGIES CORP.,Computer
"ACES Co.,Ltd",Unknown
ACES Technology,Unknown
ACETEL,Unknown
"ACIST Medical Systems, Inc.",Unknown
"ACK Networks,Inc.",Unknown
ACKFIN NETWORKS,Unknown
ACKSYS Communications & systems,Phone
ACL Airshop BV,Unknown
ACM Systems,Unknown
ACN ADVANCED COMMUNICATIONS,Phone
ACN Technologies,Unknown
"ACOGITO Co., Ltd",Unknown
"ACOINFO TECHNOLOGY CO.,LTD",Unknown
"ACOMA Medical Industry Co,. Ltd.",Unknown
ACOREL S.A.S,Unknown
ACORN COMPUTERS LIMITED,Unknown
ACR,Unknown
"ACRES GAMING, INC.",Unknown
"ACRISON, INC.",Unknown
ACROLOOP MOTION CONTROL,Unknown
ACS Solutions France,Unknown
ACS Solutions Switzerland Ltd.,Unknown
ACT.CO.LTD,Unknown
ACTEON Group,Unknown
ACTIA,IP Camera
ACTIS COMPUTER SA,IP Camera
ACTIVA MULTIMEDIA,IP Camera
ACTIVE IMAGING PLC,IP Camera
ACTIVE POWER,IP Camera
ACTIVIO Inc.,IP Camera
"ACTP, Inc.",Unknown
ACTi Corporation,IP Camera
"ACUCOMM, INC.",Unknown
"ACUITY IMAGING, INC.",Unknown
ACUSON COMPUTED SONOGRAPHY,Unknown
ACUTE COMMUNICATIONS CORP.,Phone
ACX GmbH,Unknown
AD SYSTEMS CORP.,Unknown
AD.EL s.r.l.,Unknown
ADAM ELEKTRONIK LTD. ŞTI,Unknown
ADAPTEC INCORPORATED,Unknown
"ADAPTIVE SYSTEMS, INC.",Unknown
ADASTRA SYSTEMS CORP.,Unknown
"ADATA Technology Co., Ltd",Unknown
ADB Broadband Italia,Unknown
ADB Italia,Unknown
ADC - Global Connectivity Solutions Division,IP Camera
ADC Automotive Distance Control System GmbH,Unknown
ADC CODENOLL TECHNOLOGY CORP.,Unknown
ADC Corporation,Unknown
ADC Techonology,Unknown
ADC Telecommunications,Phone
ADC-Elektronik GmbH,Unknown
ADD-Engineering BV,IoT Device
ADDI-DATA GmbH,Unknown
ADDO-Japan Corporation,Unknown
"ADDTRON TECHNOLOGY CO., LTD.",Unknown
ADDÉNERGIE  TECHNOLOGIES,Unknown
ADEC & Parter AG,Unknown
ADEPT TECHNOLOGY,Unknown
ADEUNIS RF,Unknown
ADF Technologies Sdn Bhd,Unknown
ADFweb.com s.r.l.,Unknown
ADHOC TECHNOLOGIES,Unknown
"ADI Engineering, Inc.",IoT Device
ADID SA,Unknown
ADITEC CO. LTD,Unknown
ADInstruments,Unknown
"ADL Embedded Solutions, Inc.",Unknown
"ADLINK TECHNOLOGY, INC.",Unknown
ADMTEK INCORPORATED,Unknown
ADNACOM INC.,Unknown
"ADOBE SYSTEMS, INC.",Unknown
ADOIR Digital Technology,Unknown
ADRA SYSTEMS INC.,Unknown
ADS GmbH,Unknown
"ADS Technologies, Inc",Unknown
"ADSOFT, LTD.",Unknown
ADT Technology,Unknown
"ADTEC PRODUCTIONS, INC.",Unknown
ADTECH,Unknown
"ADTEK System Science Co., Ltd.",Unknown
ADV Security (S) Pte Ltd,IP Camera
ADVA Optical Networking Ltd.,Unknown
ADVALY SYSTEM Inc.,Unknown
ADVAN,Unknown
"ADVANCE MICRO RESEARCH, INC.",Unknown
"ADVANCED COMPRESSION TECHNOLOGY, INC.",Unknown
ADVANCED COMPUTER APPLICATIONS,Phone
ADVANCED COMPUTER COMM.,Unknown
"ADVANCED COMPUTER SOLUTIONS, Inc.",Unknown
"ADVANCED CONTROL SYSTEMS, INC.",Unknown
ADVANCED DIGITAL TECHNOLOGY,Unknown
ADVANCED FIBRE COMMUNICATIONS,Phone
ADVANCED HI-TECH CORP.,Unknown
ADVANCED INFORMATION,Unknown
ADVANCED INTEGRATION RESEARCH,Unknown
"ADVANCED LOGIC RESEARCH, INC.",Unknown
ADVANCED MICRO DEVICES,Unknown
"ADVANCED PERIPHERALS TECHNOLOGIES, INC.",Unknown
ADVANCED RF TECHNOLOGIES INC,Unknown
"ADVANCED SWITCHING COMMUNICATIONS, INC.",Phone
ADVANCED TECHNICAL SOLUTIONS,Unknown
ADVANCED TECHNOLOGY LABS,Unknown
"ADVANCED TELECOMMUNICATIONS MODULES, LTD.",Phone
ADVANCED-VISION TECHNOLGIES CORP.,Phone
ADVANET INC.,Unknown
ADVANSEE,Unknown
"ADVANTECH CO., LTD.",Unknown
"ADVANTECH TECHNOLOGIES CO.,LTD",Unknown
"ADVAS CO., LTD.",Unknown
ADigit Technologies Corp.,Unknown
AE REFUsol,Unknown
AEDLE SAS,Unknown
AEG Power Solutions,Unknown
AEHR TEST SYSTEMS,Unknown
"AEON SYSTEMS, INC.",Unknown
AEP Ticketing solutions srl,Unknown
"AERAS Networks, Inc.",Unknown
"AEROCOMM, INC.",Unknown
AERODEV,Unknown
AERODISK LLC,Unknown
"AEROFLEX LABORATORIES, INC.",Unknown
AES Corporation,Unknown
AES DATA INC.,Unknown
AES PRODATA,Unknown
AES motomation,Unknown
AESYS S.p.A.,Unknown
AETA,Unknown
AETA AUDIO SYSTEMS,Unknown
AETEK INC.,Unknown
AETHRA TELECOMUNICAZIONI,Unknown
"AEV, spol. s r. o.",Unknown
"AEWIN Technologies Co., Ltd.",Unknown
"AFAR Communications,Inc",Phone
AFE COMPUTERS LTD.,Unknown
AFE Inc.,Unknown
AFREEY Inc.,Unknown
AFT Atlas Fahrzeugtechnik GmbH,Unknown
AG Elektronik AB,Unknown
AG-E GmbH,Unknown
AGAiT Technology Corporation,Unknown
AGFA CORPORATION,Unknown
AGFA NDT INC.,Unknown
AGFEO GmbH & Co. KG,Unknown
"AGILE NETWORKS, INC.",Unknown
AGILIS CORPORATION,Unknown
AGM GROUP LIMITED,Unknown
"AGOS Co.,Ltd",Unknown
AGP Telecom Co. Ltd,Unknown
AGRANAT SYSTEMS,Unknown
AHN INC.,Unknown
"AI TECHNOLOGY CO.,LTD.",Unknown
"AICHI ELECTRIC CO., LTD.",Unknown
AIDC TECHNOLOGY (S) PTE LTD,Unknown
AIDIN ROBOTICS,Unknown
AIDONIC Corporation,Unknown
AIFA TECHNOLOGY CORP.,Unknown
"AIJI System Co., Ltd.",Unknown
AIM GmbH,Unknown
AIM Infrarotmodule GmbH,Unknown
"AIM SYSTEM, INC.",Unknown
"AIN Comm.Tech.Co., LTD",Unknown
AIO LCD PC BU / TPV,Unknown
"AIOI Systems Co., Ltd.",Unknown
AIR802 LLC,Unknown
AIRAYA Corp,Unknown
AIRSOUND Inc.,Unknown
AIRTAME ApS,Unknown
"AIRTECH TECHNOLOGIES, INC.",Unknown
AIRWAVE TECHNOLOGIES INC.,Unknown
AISIN CORPORATION,Unknown
AIT Austrian Institute of Technology GmbH,Unknown
AITECH SYSTEMS LTD.,Unknown
AITelecom,Phone
"AIWA CO., LTD.",Unknown
AIxLink,Unknown
AJA Video Systems Inc,Unknown
AJINEXTEK,Unknown
AK-NORD EDV VERTRIEBSGES. mbH,Unknown
AK-Systems Ltd,Unknown
AKAI Professional M.I. Corp.,Unknown
"AKATSUKI ELECTRIC MFG.CO.,LTD.",Unknown
AKCP,Unknown
"AKEBONO BRAKE INDUSTRY CO.,LTD.",Unknown
"AKELA, Inc.",Unknown
AKG Acoustics GmbH,Unknown
"AKITA ELECTRONICS SYSTEMS CO.,LTD.",Unknown
"AKUVOX (XIAMEN) NETWORKS CO., LTD",Unknown
ALAMAR ELECTRONICS,Unknown
ALANTRO COMMUNICATIONS,Phone
"ALARIS MEDICAL SYSTEMS, INC.",Unknown
ALAXALA Networks Corporation,Unknown
ALBAHITH TECHNOLOGIES,Unknown
ALBERTA MICROELECTRONIC CENTRE,Unknown
ALCATEL - SEL,Phone
ALCATEL DATA NETWORKS,Phone
ALCATEL ITALIA S.p.A.,Phone
ALCATEL STC AUSTRALIA,Phone
ALCATEL TAISEL,Phone
ALCATEL-LUCENT,Phone
ALCATEL-LUCENT FRANCE - WTD,Phone
ALCEA,Unknown
"ALCOMA, spol. s r.o.",Unknown
"ALCON TELECOMMUNICATIONS CO., LTD.",Phone
ALCORN MCBRIDE INC.,Unknown
ALE International,Unknown
"ALERTON TECHNOLOGIES, INC.",Unknown
ALFA LAVAL AUTOMATION AB,Phone
"ALFA, INC.",Unknown
"ALFATECH, INC.",Unknown
ALGORITHMICS LTD.,Phone
ALGORITHMS SOFTWARE PVT. LTD.,Phone
"ALGOSYSTEM Co., Ltd.",Phone
"ALIDIAN NETWORKS, INC.",Unknown
ALITEC,Unknown
"ALL BEST Industrial Co., Ltd.",Unknown
ALL Winner (Hong Kong) Limited,Unknown
ALLGON AB,Phone
ALLIANT COMPUTER SYSTEMS CORP.,Unknown
ALLIED SIGNAL INC.,Unknown
ALLIED TELESIS INTERNATIONAL CORPORATION,Unknown
ALLIED TELESIS K.K.,Unknown
"ALLIED TELESIS, K.K.",Unknown
ALLIED TELESYN INTERNAIONAL,Unknown
"ALLUMER CO., LTD.",Unknown
ALLWELL TECHNOLOGY CORP.,Unknown
"ALOHA NETWORKS, INC.",Unknown
ALONG COMMUNICATION TECHNOLOGY,Phone
"ALONG INDUSTRIAL CO., LIMITED",Unknown
"ALPHA PROJECT Co.,Ltd.",Unknown
"ALPHA TECHNOLOGIES, INC.",Unknown
"ALPHA TELECOM, INC.",Unknown
ALPHA-TOP CORPORATION,Unknown
"ALPS ELECTRIC (USA), INC.",Unknown
"ALPSALPINE CO,.LTD",Unknown
ALS  & TEC Ltd.,Unknown
ALSTOM HYDRO FRANCE,Unknown
"ALT Co., Ltd.",Unknown
ALT Systems Ltd,Unknown
ALTA RESEARCH CORP.,Unknown
ALTA TECHNOLOGY,Unknown
ALTEC LANSING LLC,Unknown
"ALTECH CO., LTD.",Unknown
"ALTEON NETWORKS, INC.",Unknown
ALTIGA NETWORKS,Unknown
ALTOGRAPHICS Inc.,Unknown
ALTOS C&C,Unknown
ALTOS COMPUTER SYSTEMS,Unknown
ALTOS INDIA LIMITED,Unknown
ALTVATER AIRDATA SYSTEMS,Unknown
ALWAYS ON TECH PTE.LTD.,Unknown
ALi Corporation,Unknown
"AM Communications, Inc.",Phone
"AM Telecom co., Ltd.",Unknown
"AMADA CO., LTD",Unknown
AMALGAMATED WIRELESS(AUS) LTD,Phone
AMANO CORPORATION,Unknown
AMAQUEST COMPUTER CORP.,Unknown
AMATI COMMUNICATIONS CORP.,Phone
AMAZING CONTROLS! INC.,Unknown
AMB i.t. Holding,Unknown
AMBER NETWORKS,Unknown
"AMBER WAVE SYSTEMS, INC.",Unknown
AMBIT MICROSYSTEMS CORP.,Unknown
AMCC,Unknown
AMD,Unknown
AMDAHL,Unknown
"AME Optimedia Technology Co., Ltd.",Unknown
AMEC,Unknown
AMERGINT Technologies,Unknown
AMERICAN ARIUM,Unknown
AMERICAN COMMUNICATION,Phone
AMERICAN MEGATRENDS INC.,Unknown
AMERICAN NETWORKS INC.,Unknown
AMERICAN POWER CONVERSION CORP,Unknown
"AMERICAN TECHNOLOGY LABS, INC.",Unknown
AMERISTAR TECHNOLOGIES INC.,Unknown
AMERITEC CORP.,Unknown
"AMETEK, Inc.",Unknown
AMG Systems Ltd.,Unknown
"AMHERST SYSTEMS, INC.",Unknown
AMICCOM Electronics Corporation,Unknown
"AMIGO TECHNOLOGY CO., LTD.",Unknown
"AMIT, Inc.",Unknown
"AMKLY SYSTEMS, INC.",Unknown
"AMOD Technology Co., Ltd.",Unknown
"AMOI ELECTRONICS CO.,LTD",Unknown
AMON INC,Unknown
AMOSENSE,Unknown
AMPAK Technology Inc.,Unknown
"AMPAK Technology, Inc.",Unknown
"AMPAK Technology,Inc.",Unknown
AMPERE COMPUTING LLC,Unknown
AMPERE INCORPORATED,Unknown
AMPEX CORPORATION,Unknown
AMPRO COMPUTERS,Unknown
AMS NEVE LTD,Unknown
AMSC,Unknown
AMTEC spa,Unknown
AMiT spol. s. r. o.,Unknown
ANALOG & DIGITAL SYSTEMS,Unknown
ANALOG DEVICES,Unknown
ANALOG SYSTEMS,Unknown
"ANATEK, LLC",Unknown
ANATOR,Unknown
ANAVEO,Unknown
ANCHOR GAMES,Unknown
ANCOT CORP.,Unknown
ANDA NETWORKS,Unknown
ANDA TELECOM PVT LTD,Unknown
ANDES TECHNOLOGY CORPORATION,Unknown
"ANDOR SYSTEM SUPPORT CO., LTD.",Unknown
ANDOVER CONTROLS CORPORATION,Unknown
ANDRA Sp. z o. o.,Unknown
ANDREAS STIHL AG & Co. KG,Unknown
ANDRITZ HYDRO GmbH,Unknown
ANDTEK,Unknown
ANERMA,Unknown
ANGIA COMMUNICATIONS. INC.,Phone
"ANHUI WANZTEN P&T CO., LTD",Phone
ANI COMMUNICATIONS INC.,Phone
ANITE TELECOMS,Unknown
ANNAX Anzeigesysteme GmbH,Unknown
"ANNSO CO., LTD.",Unknown
ANOV FRANCE,Unknown
ANOV France,Unknown
ANOVO,Unknown
ANRITSU CORPORATION,Unknown
ANSA Corporation,Unknown
ANSEL COMMUNICATIONS,Phone
ANTARA.net,Unknown
ANTEC,Unknown
ANTIPODE,Unknown
"ANTLOW COMMUNICATIONS, LTD.",Phone
AO,Unknown
"AO ""GK NATEKS""",Unknown
"AO ""PKK Milandr""",Unknown
"AOBO Telecom Co.,Ltd",Unknown
AOC International (Europe) GmbH,Unknown
"AOD Co.,Ltd.",Unknown
AOIP,Unknown
AOS technologies AG,Unknown
"AOpen, Inc.",Unknown
AP Router Ind. Eletronica LTDA,Unknown
APAC opto Electronics Inc.,Unknown
"APASS TECHNOLOGY CO., LTD.",Unknown
APATOR S.A.,Unknown
APC by Schneider Electric,Unknown
"APCON, Inc.",Unknown
APD Communications Ltd,Phone
APEX COMPUTER COMPANY,Unknown
"APEX DATA, INC.",Unknown
APEXSHA SMARTTECH PRIVATE LIMITED,Unknown
"APEXX TECHNOLOGY, INC.",Unknown
API ENGINEERING,IoT Device
API MOTION,Unknown
API-K,Unknown
APISTE CORPORATION,Unknown
APLIO,Unknown
APLUX Communications Ltd.,Phone
APOLLO,Unknown
APOLLO COMPUTER INC.,Unknown
"APPIAN COMMUNICATIONS, INC.",Phone
APPLICOM INTERNATIONAL,Unknown
"APPLICON, INC.",Unknown
"APPLIED AUTOMATION, INC.",Unknown
APPLIED COMPUTING DEVICES,Unknown
"APPLIED CREATIVE TECHNOLOGY, INC.",Unknown
APPLIED DIGITAL ACCESS,Unknown
APPLIED DYNAMICS INTERNATIONAL,Unknown
"APPLIED INTELLIGENT SYSTEMS, INC.",Unknown
APPLIED MICROSYSTEMS CORP.,Unknown
APPLIED NETWORK TECHNOLOGY,Unknown
"APPLIED RESOURCES, INC.",Unknown
APPLIED SIGNAL TECHNOLOGY,Unknown
APPRO TECHNOLOGY INC.,Unknown
"APR, LLC",Unknown
APRESIA Systems Ltd,Unknown
"APRESIA Systems, Ltd.",Unknown
"APRICOT COMPUTERS, LTD",Unknown
APRIL,Unknown
"APRO MEDIA CO., LTD",Unknown
APROTECH CO.LTD,Unknown
APS Networks GmbH,Unknown
APS systems/electronic AG,Unknown
"APT COMMUNICATIONS, INC.",Phone
"APTEC COMPUTER SYSTEMS, INC.",Unknown
"APTIV SERVICES US, LLC",Unknown
APTIX CORPORATION,Unknown
APTOR PRODUITS DE COMM INDUST,Unknown
AQ Corporation,Unknown
AR Infotek Inc.,Unknown
ARBIN INSTRUMENTS,Unknown
ARBURG GmbH & Co KG,Unknown
ARC Wireless LLC,Unknown
ARCH METER Corporation,Unknown
ARCHE TECHNOLIGIES INC.,Unknown
ARCHEAN Technologies,Unknown
ARCHIPEL SA,Unknown
ARCHOS,Unknown
ARCHTEK TELECOM CORPORATION,Unknown
"ARCO ELECTRONIC, CONTROL LTD.",Unknown
ARCOM,Unknown
ARDENT COMMUNICATIONS CORP.,Phone
"ARDENT TECHNOLOGIES, INC.",Unknown
ARDUINO AG,Unknown
"AREANEX COMMUNICATIONS, INC.",Phone
AREC Inc.,Unknown
ARESCOM,Unknown
AREVA NP GmbH,Unknown
ARG Telecom,Unknown
"ARGO AI, LLC",Unknown
"ARGON NETWORKS, INC.",Unknown
ARGOSY RESEARCH INC.,Unknown
ARIES Embedded GmbH,Unknown
ARIES RESEARCH,Unknown
ARIMA Communications Corp.,Phone
ARION Technology Inc.,Unknown
ARIX CORPORATION,Unknown
ARK INFOSOLUTIONS PVT LTD,Unknown
ARK Research Corp.,Unknown
"ARK TELECOMMUNICATIONS, INC.",Phone
"ARLOTTO COMNET, INC.",IP Camera
ARM,Unknown
"ARMA, Inc.",Unknown
ARMITEL Co.,Phone
ARN,Unknown
ARNOS INSTRUMENTS & COMPUTER,Unknown
ARO WELDING TECHNOLOGIES SAS,Unknown
ARQ Digital LLC,Unknown
ARRAY TECHNOLOGY LTD.,Unknown
"ART JAPAN CO., LTD.",Unknown
"ART System Co., Ltd.",Unknown
"ART WARE Telecommunication Co., Ltd.",Phone
"ARTDIO Company Co., LTD",Unknown
ARTECHE GROUP,Unknown
ARTEL COMMUNICATIONS CORP.,Phone
ARTJOY INTERNATIONAL LIMITED,Unknown
"ARTRAY CO., LTD.",Unknown
ARUZE Corporation,Unknown
"ARVIDA Intelligent Electronics Technology  Co.,Ltd.",Unknown
ARVOO Imaging Products BV,Unknown
ARtem,Unknown
ASA SYSTEMS,Unknown
ASA-RT s.r.l.,Unknown
ASACA CORPORATION,Unknown
"ASAHIKASEI TECHNOSYSTEM CO.,LTD.",Unknown
ASANTE TECHNOLOGIES,Unknown
ASB Technology BV,Unknown
ASC X3 - INFORMATION TECHNOLOGY STANDARDS SECRETARIATS,Unknown
"ASCEND COMMUNICATIONS, INC.",Phone
ASCO Numatics GmbH,Unknown
ASCO Power Technologies,Unknown
ASCOM INFRASYS AG,Unknown
ASCT,Unknown
ASD Electronics Ltd,Unknown
ASE Group Chung-Li,Unknown
"ASE Technologies, USA",Unknown
ASEM SpA,Unknown
"ASI Communications, Inc.",Phone
"ASIA ELECTRONICS CO.,LTD",Unknown
ASIMMPHONY TURKEY,Unknown
ASIP Technologies Inc.,Unknown
ASITA TECHNOLOGIES INT'L LTD.,Unknown
ASITEQ,Unknown
ASIX ELECTRONICS CORP.,Unknown
ASIX Electronics Corporation,Unknown
ASKEY COMPUTER CORP,Unknown
"ASL Xiamen Technology CO., LTD",Unknown
ASM Pacific Technology,Unknown
ASMedia Technology Inc.,Unknown
ASP AG,Unknown
"ASP COMPUTER PRODUCTS, INC.",Unknown
ASP Corporation,Unknown
ASPECT COMMUNICATIONS,Phone
"ASPECT ELECTRONICS, INC.",Unknown
"ASR Co,.Ltd.",Unknown
"ASR Microelectronics (Shanghai) Co., Ltd.",Unknown
ASRock Incorporation,Unknown
ASSA ABLOY AB,Unknown
ASSA ABLOY CÔTE PICARDE,Unknown
"ASSA ABLOY Korea Co., Ltd Unilock",Unknown
"ASSA ABLOY Korea Co., Ltd iRevo",Unknown
ASSMANN Electronic GmbH,Unknown
"ASSURED DIGITAL, INC.",Unknown
AST COMPUTER,Unknown
"AST RESEARCH, INC.",Unknown
ASTAK Inc.,Unknown
ASTECH INC.,Unknown
ASTEL Inc.,Unknown
ASTON ELECTRONIC DESIGNS LTD.,Unknown
ASTON France,Unknown
ASTRAL POINT,Unknown
ASTRI,Unknown
ASTRO Strobel Kommunikationssysteme GmbH,Unknown
ASTRO TERRA CORP.,Unknown
ASTRON,Unknown
ASUSTek COMPUTER INC.,Router
"ASWT Co., LTD. Taiwan Branch H.K.",Unknown
AT & T Laboratories - Cambridge Ltd,Unknown
AT Sweden AB,Unknown
AT&T,Unknown
ATAN TECHNOLOGY INC.,Unknown
ATARI CORPORATION,Unknown
"ATAW  Co., Ltd.",Unknown
ATCOM Technology Co.Ltd.,Unknown
ATECH SYSTEM,Unknown
"ATEK Products, LLC",Unknown
ATEME,Unknown
"ATEN INTERNATIONAL CO., LTD.",Unknown
ATENIX E.E. s.r.l.,Unknown
ATEX,Unknown
ATH system,Unknown
ATHENA,Unknown
ATHENIX CORPORATION,Unknown
"ATI Electronics(Shenzhen) Co., LTD",Unknown
ATI Industrial Automation,Unknown
ATI Technologies Inc.,Unknown
ATLANTIC NETWORK SYSTEMS,Unknown
ATLANTIX CORPORATION,Unknown
ATLAS COPCO TOOLS AB,Unknown
ATLS ALTEC,Unknown
ATM COMPUTER GMBH,Unknown
